,num,1,2,3,4,5,6,bonus
675,289,3,14.0,33.0,37.0,38.0,42.0,10
674,290,8,13.0,18.0,32.0,39.0,45.0,7
673,291,3,7.0,8.0,18.0,20.0,42.0,45
672,292,17,18.0,31.0,32.0,33.0,34.0,10
671,293,1,9.0,17.0,21.0,29.0,33.0,24
670,294,6,10.0,17.0,30.0,37.0,38.0,40
669,295,1,4.0,12.0,16.0,18.0,38.0,8
668,296,3,8.0,15.0,27.0,30.0,45.0,44
667,297,6,11.0,19.0,20.0,28.0,32.0,34
666,298,5,9.0,27.0,29.0,37.0,40.0,19
665,299,1,3.0,20.0,25.0,36.0,45.0,24
664,300,7,9.0,10.0,12.0,26.0,38.0,39
663,301,7,11.0,13.0,33.0,37.0,43.0,26
662,302,13,19.0,20.0,32.0,38.0,42.0,4
661,303,2,14.0,17.0,30.0,38.0,45.0,43
660,304,4,10.0,16.0,26.0,33.0,41.0,38
659,305,7,8.0,18.0,21.0,23.0,39.0,9
658,306,4,18.0,23.0,30.0,34.0,41.0,19
657,307,5,15.0,21.0,23.0,25.0,45.0,12
656,308,14,15.0,17.0,19.0,37.0,45.0,40
655,309,1,2.0,5.0,11.0,18.0,36.0,22
654,310,1,5.0,19.0,28.0,34.0,41.0,16
653,311,4,12.0,24.0,27.0,28.0,32.0,10
652,312,2,3.0,5.0,6.0,12.0,20.0,25
651,313,9,17.0,34.0,35.0,43.0,45.0,2
650,314,15,17.0,19.0,34.0,38.0,41.0,2
649,315,1,13.0,33.0,35.0,43.0,45.0,23
648,316,10,11.0,21.0,27.0,31.0,39.0,43
647,317,3,10.0,11.0,22.0,36.0,39.0,8
646,318,2,17.0,19.0,20.0,34.0,45.0,21
645,319,5,8.0,22.0,28.0,33.0,42.0,37
644,320,16,19.0,23.0,25.0,41.0,45.0,3
643,321,12,18.0,20.0,21.0,25.0,34.0,42
642,322,9,18.0,29.0,32.0,38.0,43.0,20
641,323,10,14.0,15.0,32.0,36.0,42.0,3
640,324,2,4.0,21.0,25.0,33.0,36.0,17
639,325,7,17.0,20.0,32.0,44.0,45.0,33
638,326,16,23.0,25.0,33.0,36.0,39.0,40
637,327,6,12.0,13.0,17.0,32.0,44.0,24
636,328,1,6.0,9.0,16.0,17.0,28.0,24
635,329,9,17.0,19.0,30.0,35.0,42.0,4
634,330,3,4.0,16.0,17.0,19.0,20.0,23
633,331,4,9.0,14.0,26.0,31.0,44.0,39
632,332,16,17.0,34.0,36.0,42.0,45.0,3
631,333,5,14.0,27.0,30.0,39.0,43.0,35
630,334,13,15.0,21.0,29.0,39.0,43.0,33
629,335,5,9.0,16.0,23.0,26.0,45.0,21
628,336,3,5.0,20.0,34.0,35.0,44.0,16
627,337,1,5.0,14.0,18.0,32.0,37.0,4
626,338,2,13.0,34.0,38.0,42.0,45.0,16
